Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
04/03/2012,5062,,,,,,
05/03/2012,19342,,,,,,
06/03/2012,21102,,,,,,
07/03/2012,17096,,,,,,
08/03/2012,24123,,,,,,
09/03/2012,23609,,,,,,
10/03/2012,24721,,,,,,
11/03/2012,27758,,,,,,
12/03/2012,28856,,,,,,
13/03/2012,27528,,,,,,
14/03/2012,28296,,,,,,
15/03/2012,29969,,,,,,
16/03/2012,26452,,,,,,
17/03/2012,13391,,,,,,
18/03/2012,19184,,,,,,
19/03/2012,28391,,,,,,
20/03/2012,30817,,,,,,
21/03/2012,31175,,,,,,
22/03/2012,31135,,,,,,
23/03/2012,33635,,,,,,
24/03/2012,35091,,,,,,
25/03/2012,28607,,,,,,
26/03/2012,32368,,,,,,
27/03/2012,34563,,,,,,
28/03/2012,36539,,,,,,
29/03/2012,35954,,,,,,
30/03/2012,35666,,,,,,
31/03/2012,23038,,,,,,
01/04/2012,30513,,,,,,
02/04/2012,32142,,,,,,
03/04/2012,25956,,,,,,
04/04/2012,27912,,,,,,
05/04/2012,24383,,,,,,
06/04/2012,22354,,,,,,
07/04/2012,16848,,,,,,
08/04/2012,15717,,,,,,
09/04/2012,6214,,,,,,
10/04/2012,24898,,,,,,
11/04/2012,29345,,,,,,
12/04/2012,25772,,,,,,
13/04/2012,27673,,,,,,
14/04/2012,26193,,,,,,
15/04/2012,10188,,,,,,
16/04/2012,28188,,,,,,
17/04/2012,20105,,,,,,
18/04/2012,16651,,,,,,
19/04/2012,18759,,,,,,
20/04/2012,22730,,,,,,
21/04/2012,22014,,,,,,
22/04/2012,19707,,,,,,
23/04/2012,19262,,,,,,
24/04/2012,27522,,,,,,
25/04/2012,12737,,,,,,
26/04/2012,21740,,,,,,
27/04/2012,24263,,,,,,
28/04/2012,7827,,,,,,
29/04/2012,9951,,,,,,
30/04/2012,31909,,,,,,
01/05/2012,24523,,,,,,
02/05/2012,28381,,,,,,
03/05/2012,23768,,,,,,
04/05/2012,25503,,,,,,
05/05/2012,16009,,,,,,
06/05/2012,17160,,,,,,
07/05/2012,15227,,,,,,
08/05/2012,28585,,,,,,
09/05/2012,21758,,,,,,
10/05/2012,26164,,,,,,
11/05/2012,31385,,,,,,
12/05/2012,30699,,,,,,
13/05/2012,28778,,,,,,
14/05/2012,23344,,,,,,
